,year,month,type,sex,age,fatal,area,location,sum,latitude,longitude,link
0,2018,6,unprovoked,Male,unknown,No,new south wales,arrawarra headland,1.0,-30.060426,153.2016851,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf
1,2018,6,unprovoked,Male,unknown,No,new south wales,"flat rock, ballina",1.0,-28.8429552,153.6079901360164,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf
2,2018,5,provoked,Male,32,No,queensland,cairns aquarium,1.0,-16.9186011,145.77365282675595,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf
3,2018,5,provoked,Female,34,No,western australia,dugong bay,1.0,-16.39813,123.87075,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf
4,2018,5,unclear,Male,unknown,No,new south wales,"sharpes beach, ballina",3.0,-28.83757345,153.60440400883255,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf
5,2018,4,unprovoked,Male,unknown,No,western australia,gearys beach,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf
6,2018,4,unclear,Male,unknown,No,new south wales,lennox head,4.0,-28.7910334,153.5878047,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf
7,2018,4,unprovoked,Male,60,No,western australia,"surfers point, prevelly",1.0,-33.976757,114.9859179,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf
8,2018,4,unprovoked,Male,unknown,No,western australia,"south point, gracetown",2.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf
9,2018,4,unprovoked,Male,41,No,western australia,"lefthanders, margaret river area",1.0,-33.9531776,115.0769369,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf
10,2018,4,unprovoked,Male,37,No,western australia,"cobblestones, margaret river area",1.0,-33.9531776,115.0769369,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf
11,2018,3,unprovoked,Male,10,No,western australia,waterman's bay,1.0,-31.8490984,115.7554654,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf
12,2018,3,unprovoked,Male,69,No,victoria,lorne,1.0,-38.5411691,143.9748166,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf
13,2018,3,unprovoked,Male,18,No,victoria,winkipop,1.0,-38.2280117,144.3390979,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf
14,2018,2,unprovoked,Female,55,No,new south wales,"little congwong beach, la perouse ",1.0,-33.991385449999996,151.2383236410764,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf
15,2018,2,provoked,Male,34,No,victoria,westernport bay,1.0,-38.46983085,145.25864713704553,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf
16,2018,2,unprovoked,Male,35,No,new south wales,"surf beach, kiama",1.0,-34.67633885,150.85455902996785,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf
17,2018,2,unclear,Female,unknown,No,queensland,mooloolaba beach,1.0,-26.681142899999998,153.12190629808532,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf
18,2018,2,unclear,Male,14,No,western australia,"avalon point, manurah",1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf
19,2018,1,unprovoked,Male,18,No,western australia,cone bay,1.0,-16.47086,123.5577,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf
20,2018,1,unprovoked,Male,unknown,No,queensland,lizard island,3.0,-14.6683188,145.4609161,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf
21,2018,1,unprovoked,Male,28,No,new south wales,martin islet,1.0,-20.28572705,149.0686452163714,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf
22,2018,1,unprovoked,Male,unknown,No,western australia,"south point, gracetown",2.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf
23,2017,11,unprovoked,Male,25,No,new south wales,avoca beach,4.0,-33.465,151.4344444,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf
24,2017,10,unprovoked,Male,7,No,queensland,magnetic island,2.0,-19.1421421,146.83354856403196,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf
